# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-5467340	AXIN missense mutants destabilize the destruction complex	5	13	0.0034212378588	0.026531586309
R-HSA-5467348	Truncations of AMER1 destabilize the destruction complex	5	13	0.0034212378588	0.026531586309
R-HSA-6802952	Signaling by BRAF and RAF1 fusions	12	58	0.00349989624873	0.0268604908706
R-HSA-9013407	RHOH GTPase cycle	9	37	0.00353246421356	0.0268604908706
R-HSA-2299718	Condensation of Prophase Chromosomes	9	37	0.00353246421356	0.0268604908706
R-HSA-9670095	Inhibition of DNA recombination at telomere	10	44	0.00366009438088	0.0276514227098
R-HSA-9609690	HCMV Early Events	16	89	0.00370160653733	0.027785777277
R-HSA-9830674	Formation of the ureteric bud	6	19	0.00418522116936	0.0312158852823
R-HSA-110329	Cleavage of the damaged pyrimidine 	9	38	0.00428097775275	0.0315284587954
R-HSA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	9	38	0.00428097775275	0.0315284587954
R-HSA-6802948	Signaling by high-kinase activity BRAF mutants	8	32	0.00489469583708	0.0331032964954
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	4	9	0.00492168283506	0.0331032964954
R-HSA-5339716	Signaling by GSK3beta mutants	5	14	0.00494711945917	0.0331032964954
R-HSA-5358747	CTNNB1 S33 mutants aren't phosphorylated	5	14	0.00494711945917	0.0331032964954
R-HSA-8951936	RUNX3 regulates p14-ARF	4	9	0.00492168283506	0.0331032964954
R-HSA-5358749	CTNNB1 S37 mutants aren't phosphorylated	5	14	0.00494711945917	0.0331032964954
R-HSA-5689603	UCH proteinases	14	75	0.00453332325167	0.0331032964954
R-HSA-5358752	CTNNB1 T41 mutants aren't phosphorylated	5	14	0.00494711945917	0.0331032964954
R-HSA-5358751	CTNNB1 S45 mutants aren't phosphorylated	5	14	0.00494711945917	0.0331032964954
R-HSA-8941856	RUNX3 regulates NOTCH signaling	5	14	0.00494711945917	0.0331032964954
R-HSA-9614399	Regulation of localization of FOXO transcription factors	4	9	0.00492168283506	0.0331032964954
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	5	14	0.00494711945917	0.0331032964954
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	5	14	0.00494711945917	0.0331032964954
R-HSA-2173796	SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription	8	32	0.00489469583708	0.0331032964954
R-HSA-113507	E2F-enabled inhibition of pre-replication complex formation	4	9	0.00492168283506	0.0331032964954
R-HSA-2980766	Nuclear Envelope Breakdown	4	9	0.00492168283506	0.0331032964954
R-HSA-2173789	TGF-beta receptor signaling activates SMADs	7	26	0.00539096034686	0.0358682645806
R-HSA-9832991	Formation of the posterior neural plate	3	5	0.00565121878685	0.0363603142824
R-HSA-901042	Calnexin/calreticulin cycle	3	5	0.00565121878685	0.0363603142824
R-HSA-2219530	Constitutive Signaling by Aberrant PI3K in Cancer	13	69	0.00564541285797	0.0363603142824
R-HSA-1169092	Activation of RAS in B cells	3	5	0.00565121878685	0.0363603142824
R-HSA-1236974	ER-Phagosome pathway	13	69	0.00564541285797	0.0363603142824
R-HSA-203641	NOSTRIN mediated eNOS trafficking	3	5	0.00565121878685	0.0363603142824
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	11	54	0.00575309700897	0.0368135333197
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	24	161	0.00582161923309	0.0368492763348
R-HSA-983231	Factors involved in megakaryocyte development and platelet production	15	85	0.00581606514191	0.0368492763348
R-HSA-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	8	33	0.00598161132876	0.0376584240106
R-HSA-73762	RNA Polymerase I Transcription Initiation	10	47	0.00603186824752	0.0377717525018
R-HSA-3214841	PKMTs methylate histone lysines	9	40	0.00614420435795	0.0382705494849
R-HSA-4419969	Depolymerization of the Nuclear Lamina	5	15	0.00689934518831	0.0410108285051
R-HSA-5654712	FRS-mediated FGFR4 signaling	5	15	0.00689934518831	0.0410108285051
R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	5	15	0.00689934518831	0.0410108285051
R-HSA-110320	Translesion Synthesis by POLH	5	15	0.00689934518831	0.0410108285051
R-HSA-5655332	Signaling by FGFR3 in disease	5	15	0.00689934518831	0.0410108285051
R-HSA-5654695	PI-3K cascade:FGFR2	5	15	0.00689934518831	0.0410108285051
R-HSA-8878166	Transcriptional regulation by RUNX2	5	15	0.00689934518831	0.0410108285051
R-HSA-9619665	EGR2 and SOX10-mediated initiation of Schwann cell myelination	7	27	0.0067453025949	0.0410108285051
R-HSA-1912408	Pre-NOTCH Transcription and Translation	11	55	0.00664415315041	0.0410108285051
R-HSA-5675221	Negative regulation of MAPK pathway	8	34	0.00724252439458	0.0418050579308
R-HSA-180534	Vpu mediated degradation of CD4	8	34	0.00724252439458	0.0418050579308
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	8	34	0.00724252439458	0.0418050579308
R-HSA-5621575	CD209 (DC-SIGN) signaling	6	21	0.00720912322899	0.0418050579308
