BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
14195	P12830	CDH1	RecName: Full=Cadherin-1 {ECO:0000312|HGNC:HGNC:1748}; AltName: Full=CAM 120/80; AltName: Full=Epithelial cadherin {ECO:0000305}; Short=E-cadherin {ECO:0000312|HGNC:HGNC:1748}; AltName: Full=Uvomorulin {ECO:0000303|PubMed:8459805}; AltName: CD_antigen=CD324; Contains: RecName: Full=E-Cad/CTF1; Contains: RecName: Full=E-Cad/CTF2; Contains: RecName: Full=E-Cad/CTF3; Flags: Precursor;	999	-
42904	P98153	DGCR2	RecName: Full=Integral membrane protein DGCR2/IDD; Flags: Precursor;	9993	-
56500	Q9HBZ2	ARNT2	RecName: Full=Aryl hydrocarbon receptor nuclear translocator 2; Short=ARNT protein 2; AltName: Full=Class E basic helix-loop-helix protein 1; Short=bHLHe1;	9915	-
19176	P56705	WNT4	RecName: Full=Protein Wnt-4; Flags: Precursor;	54361	-
8964	Q969F8	KISS1R	RecName: Full=KiSS-1 receptor; Short=KiSS-1R; AltName: Full=G-protein coupled receptor 54; AltName: Full=G-protein coupled receptor OT7T175; Short=hOT7T175; AltName: Full=Hypogonadotropin-1; AltName: Full=Kisspeptins receptor; AltName: Full=Metastin receptor;	84634	-
23693	Q9BVV6	KIAA0586	RecName: Full=Protein TALPID3;	9786	-
33538	P50542	PEX5	RecName: Full=Peroxisomal targeting signal 1 receptor {ECO:0000305}; Short=PTS1 receptor {ECO:0000303|PubMed:7719337}; Short=PTS1R; AltName: Full=PTS1-BP; AltName: Full=Peroxin-5; AltName: Full=Peroxisomal C-terminal targeting signal import receptor; AltName: Full=Peroxisome receptor 1;	5830	-
44934	P01148	GNRH1	RecName: Full=Progonadoliberin-1; AltName: Full=Progonadoliberin I; Contains: RecName: Full=Gonadoliberin-1; AltName: Full=Gonadoliberin I; AltName: Full=Gonadorelin; AltName: Full=Gonadotropin-releasing hormone I; Short=GnRH-I; AltName: Full=Luliberin I; AltName: Full=Luteinizing hormone-releasing hormone I; Short=LH-RH I; Contains: RecName: Full=GnRH-associated peptide 1; AltName: Full=GnRH-associated peptide I; Flags: Precursor;	2796	-
14126	P17302	GJA1	RecName: Full=Gap junction alpha-1 protein; AltName: Full=Connexin-43; Short=Cx43; AltName: Full=Gap junction 43 kDa heart protein;	2697	-
16127	O14686	KMT2D	RecName: Full=Histone-lysine N-methyltransferase 2D; Short=Lysine N-methyltransferase 2D; EC=2.1.1.364 {ECO:0000269|PubMed:25561738}; AltName: Full=ALL1-related protein; AltName: Full=Myeloid/lymphoid or mixed-lineage leukemia protein 2;	8085	-
46717	P11487	FGF3	RecName: Full=Fibroblast growth factor 3; Short=FGF-3; AltName: Full=Heparin-binding growth factor 3; Short=HBGF-3; AltName: Full=Proto-oncogene Int-2; Flags: Precursor;	2248	-
51994	Q14055	COL9A2	RecName: Full=Collagen alpha-2(IX) chain {ECO:0000305}; Flags: Precursor;	1298	-
53173	P49454	CENPF	RecName: Full=Centromere protein F; Short=CENP-F; AltName: Full=AH antigen; AltName: Full=Kinetochore protein CENPF; AltName: Full=Mitosin; Flags: Precursor;	1063	-
37522	P35548	MSX2	RecName: Full=Homeobox protein MSX-2; AltName: Full=Homeobox protein Hox-8;	4488	-
37524	P28360	MSX1	RecName: Full=Homeobox protein MSX-1 {ECO:0000305}; AltName: Full=Homeobox protein Hox-7; AltName: Full=Msh homeobox 1-like protein;	4487	-
8289	P37173	TGFBR2	RecName: Full=TGF-beta receptor type-2; Short=TGFR-2; EC=2.7.11.30; AltName: Full=TGF-beta type II receptor; AltName: Full=Transforming growth factor-beta receptor type II; Short=TGF-beta receptor type II; Short=TbetaR-II; Flags: Precursor;	7048	-
13257	P52788	SMS	RecName: Full=Spermine synthase {ECO:0000303|PubMed:7546290}; Short=SPMSY; EC=2.5.1.22 {ECO:0000269|PubMed:18367445}; AltName: Full=Spermidine aminopropyltransferase;	6611	-
