#Position	OddsRatio	P-value
121	0.791693705386	0.702893576432
122	0.791693705386	0.702893576432
123	0.791693705386	0.702893576432
124	0.791693705386	0.702893576432
125	0.791693705386	0.702893576432
126	0.665832290363	0.444626441736
127	0.548913043478	0.250075070733
128	0.548913043478	0.250075070733
129	0.548913043478	0.250075070733
130	0.548913043478	0.250075070733
131	0.548913043478	0.250075070733
132	0.548913043478	0.250075070733
133	0.548913043478	0.250075070733
134	0.548913043478	0.250075070733
135	0.548913043478	0.250075070733
136	0.665832290363	0.444626441736
137	0.665832290363	0.444626441736
138	0.665832290363	0.444626441736
139	0.665832290363	0.444626441736
140	0.665832290363	0.444626441736
141	0.665832290363	0.444626441736
142	0.665832290363	0.444626441736
143	0.665832290363	0.444626441736
144	0.665832290363	0.444626441736
145	0.665832290363	0.444626441736
146	0.665832290363	0.444626441736
147	0.665832290363	0.444626441736
148	0.665832290363	0.444626441736
149	0.665832290363	0.444626441736
150	0.665832290363	0.444626441736
151	0.665832290363	0.444626441736
152	0.665832290363	0.444626441736
153	0.665832290363	0.444626441736
154	0.665832290363	0.444626441736
155	0.665832290363	0.444626441736
156	0.791693705386	0.702893576432
157	0.791693705386	0.702893576432
158	0.791693705386	0.702893576432
159	0.791693705386	0.702893576432
160	0.665832290363	0.444626441736
161	0.665832290363	0.444626441736
162	0.665832290363	0.444626441736
163	0.665832290363	0.444626441736
164	0.665832290363	0.444626441736
165	0.665832290363	0.444626441736
166	0.665832290363	0.444626441736
167	0.665832290363	0.444626441736
168	0.665832290363	0.444626441736
169	0.665832290363	0.444626441736
170	0.665832290363	0.444626441736
171	0.665832290363	0.444626441736
172	0.665832290363	0.444626441736
173	0.665832290363	0.444626441736
174	0.665832290363	0.444626441736
175	0.665832290363	0.444626441736
176	0.665832290363	0.444626441736
177	0.665832290363	0.444626441736
178	0.548913043478	0.250075070733
179	0.548913043478	0.250075070733
180	0.440233236152	0.123786225138
181	0.339154929577	0.0353234254148
182	0.339154929577	0.0353234254148
183	0.339154929577	0.0353234254148
184	0.339154929577	0.0353234254148
185	0.339154929577	0.0353234254148
186	0.339154929577	0.0353234254148
187	0.339154929577	0.0353234254148
188	0.339154929577	0.0353234254148
189	0.339154929577	0.0353234254148
190	0.339154929577	0.0353234254148
191	0.339154929577	0.0353234254148
192	0.440233236152	0.123786225138
193	0.440233236152	0.123786225138
194	0.440233236152	0.123786225138
195	0.440233236152	0.123786225138
196	0.339154929577	0.0353234254148
197	0.339154929577	0.0353234254148
198	0.339154929577	0.0353234254148
199	0.339154929577	0.0353234254148
200	0.339154929577	0.0353234254148
201	0.339154929577	0.0353234254148
202	0.440233236152	0.123786225138
203	0.440233236152	0.123786225138
204	0.440233236152	0.123786225138
205	0.440233236152	0.123786225138
206	0.440233236152	0.123786225138
207	0.440233236152	0.123786225138
208	0.440233236152	0.123786225138
209	0.440233236152	0.123786225138
210	0.440233236152	0.123786225138
211	0.339154929577	0.0353234254148
212	0.339154929577	0.0353234254148
213	0.339154929577	0.0353234254148
214	0.339154929577	0.0353234254148
215	0.339154929577	0.0353234254148
216	0.339154929577	0.0353234254148
217	0.339154929577	0.0353234254148
218	0.339154929577	0.0353234254148
219	0.339154929577	0.0353234254148
220	0.339154929577	0.0353234254148
221	0.339154929577	0.0353234254148
222	0.339154929577	0.0353234254148
223	0.339154929577	0.0353234254148
224	0.339154929577	0.0353234254148
225	0.339154929577	0.0353234254148
